symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem,brand,price_range,section_horsepower,vertical_rpm,claster
3,gas,std,two,convertible,rwd,front,dohc,four,mpfi,alfa-romero,medium_price,-.0269662910090194,-1.22669541924781,2
3,gas,std,two,convertible,rwd,front,dohc,four,mpfi,alfa-romero,medium_price,-.0269662910090194,-1.22669541924781,2
1,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,alfa-romero,medium_price,.177343841973611,-.765153700173088,2
2,gas,std,four,sedan,fwd,front,ohc,four,mpfi,audi,medium_price,-.094327544545741,-.129559013056132,1
2,gas,std,four,sedan,4wd,front,ohc,five,mpfi,audi,medium_price,.464000946966603,-.543716162451259,1
2,gas,std,two,sedan,fwd,front,ohc,five,mpfi,audi,medium_price,.297462429124417,-.581580437316014,1
1,gas,std,four,sedan,fwd,front,ohc,five,mpfi,audi,medium_price,.942389527224617,.277981522050694,1
1,gas,std,four,wagon,fwd,front,ohc,five,mpfi,audi,medium_price,.97555814101949,.286303270737686,1
1,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi,audi,high_price,1.21341984357579,.0623206083704828,2
0,gas,turbo,two,hatchback,4wd,front,ohc,five,mpfi,audi,medium_price,.891970655948373,-1.09709173229363,1
2,gas,std,two,sedan,rwd,front,ohc,four,mpfi,bmw,medium_price,.0713869657802628,-.444692644716234,2
0,gas,std,four,sedan,rwd,front,ohc,four,mpfi,bmw,medium_price,.0713869657802628,-.444692644716234,2
0,gas,std,two,sedan,rwd,front,ohc,six,mpfi,bmw,high_price,.290028311761669,.432451943755703,2
0,gas,std,four,sedan,rwd,front,ohc,six,mpfi,bmw,high_price,.306612618659106,.436612818099199,2
1,gas,std,four,sedan,rwd,front,ohc,six,mpfi,bmw,high_price,.72777566510008,.844693648396892,2
0,gas,std,four,sedan,rwd,front,ohc,six,mpfi,bmw,high_price,1.61959582299989,-.467258672824936,2
0,gas,std,two,sedan,rwd,front,ohc,six,mpfi,bmw,high_price,1.80039322066679,-.630233610125014,2
0,gas,std,four,sedan,rwd,front,ohc,six,mpfi,bmw,high_price,2.17001052651781,.0118149911511411,2
2,gas,std,two,hatchback,fwd,front,l,three,2bbl,chevrolet,low_price,-2.49551927793479,-.0999523342895101,1
1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,chevrolet,low_price,-1.34784965908078,-.349853723258315,1
0,gas,std,four,sedan,fwd,front,ohc,four,2bbl,chevrolet,low_price,-1.30763618375652,-.319088040171551,1
1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,dodge,low_price,-1.30148228781884,-.616532740446462,1
1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,dodge,low_price,-1.1750923232962,-.728969515659997,1
1,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi,dodge,low_price,-.628036068501113,-1.24239669673086,1
1,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,dodge,low_price,-1.14546825111881,-.747176266755232,1
1,gas,std,four,sedan,fwd,front,ohc,four,2bbl,dodge,low_price,-1.13883452835984,-.745511917017834,1
1,gas,std,four,sedan,fwd,front,ohc,four,2bbl,dodge,low_price,-1.13883452835984,-.745511917017834,1
1,gas,turbo,two,sedan,fwd,front,ohc,four,mpfi,dodge,low_price,-.606854916198789,-1.26272171112824,1
-1,gas,std,four,wagon,fwd,front,ohc,four,2bbl,dodge,low_price,-.130683606395824,.893334525074828,1
3,gas,turbo,two,hatchback,fwd,front,ohc,four,mfi,dodge,medium_price,.764946639740717,-1.11882370276572,1
2,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,honda,low_price,-2.06048117246199,-.144149866536229,1
2,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,honda,low_price,-1.34876211813184,-1.49246357890798,1
1,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,honda,low_price,-1.54643658740475,-.31871200868372,1
1,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,honda,low_price,-1.10003586777123,-1.0211559194009,1
1,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,honda,low_price,-1.09521134212834,-1.01994548322825,1
0,gas,std,four,sedan,fwd,front,ohc,four,1bbl,honda,low_price,-.923155282632649,-.551754663758611,1
0,gas,std,four,wagon,fwd,front,ohc,four,1bbl,honda,low_price,-1.02660334803738,-.138236634616209,1
0,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,honda,low_price,-.44820833696324,-.619792655286374,1
0,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,honda,low_price,-.432227095771165,-.61578308546446,1
0,gas,std,four,sedan,fwd,front,ohc,four,1bbl,honda,low_price,-.355644977695611,-.437686961734557,1
0,gas,std,four,sedan,fwd,front,ohc,four,1bbl,honda,medium_price,-.509640445005872,-.513673276242774,1
0,gas,std,four,sedan,fwd,front,ohc,four,mpfi,honda,medium_price,-.121984941435376,-.605541325378885,1
1,gas,std,two,sedan,fwd,front,ohc,four,2bbl,honda,medium_price,-.242541145783229,-.780083953117017,1
0,gas,std,four,sedan,rwd,front,ohc,four,2bbl,isuzu,low_price,-.578697609317881,-.154105786319371,1
1,gas,std,two,sedan,fwd,front,ohc,four,2bbl,isuzu,low_price,-1.34784965908078,-.349853723258315,1
0,gas,std,four,sedan,fwd,front,ohc,four,2bbl,isuzu,low_price,-1.33729600923695,-.347205894130636,1
2,gas,std,two,hatchback,rwd,front,ohc,four,spfi,isuzu,medium_price,-.0228042776622937,-.358495145831104,2
0,gas,std,four,sedan,rwd,front,dohc,six,mpfi,jaguar,high_price,2.48161670497305,.114808835184004,2
0,gas,std,four,sedan,rwd,front,dohc,six,mpfi,jaguar,high_price,2.48161670497305,.114808835184004,2
0,gas,std,two,sedan,rwd,front,ohcv,twelve,mpfi,jaguar,high_price,2.97977989850559,-1.40630248400973,2
1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,mazda,low_price,-1.06346223143047,-.105596865045509,1
1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,mazda,low_price,-1.17261581552633,-.00565479096436333,1
1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,mazda,low_price,-1.17110815126293,-.00527652966040915,1
1,gas,std,four,sedan,fwd,front,ohc,four,2bbl,mazda,low_price,-1.08029488674214,.0724073109384483,1
1,gas,std,four,sedan,fwd,front,ohc,four,2bbl,mazda,low_price,-1.05511767439074,.071867177803327,1
3,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,mazda,medium_price,-.0402409769582223,-1.47345120351676,2
3,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,mazda,medium_price,-.0402409769582223,-1.47345120351676,2
3,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,mazda,medium_price,-.0387333126948188,-1.47307294221281,2
3,gas,std,two,hatchback,rwd,front,rotor,two,mpfi,mazda,medium_price,.214080205464649,-1.67079579551457,2
1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,mazda,low_price,-.0889904410541457,.263542925244168,1
0,gas,std,four,sedan,fwd,front,ohc,four,2bbl,mazda,low_price,-.101113362988108,.491254193208761,1
1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,mazda,medium_price,-.0889904410541457,.263542925244168,1
0,gas,std,four,sedan,fwd,front,ohc,four,2bbl,mazda,medium_price,-.101113362988108,.491254193208761,1
0,diesel,std,four,sedan,fwd,front,ohc,four,idi,mazda,medium_price,-.764194999506019,2.15274186736385,2
0,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,mazda,medium_price,-.096590370197898,.492388977120624,1
0,gas,std,four,sedan,rwd,front,ohc,four,mpfi,mazda,medium_price,.639001918372481,-.0116195133995816,2
0,diesel,std,four,sedan,rwd,front,ohc,four,idi,mazda,medium_price,-.452950039254592,2.28945613223333,2
-1,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,buick,high_price,1.13077007088001,2.3107905191742,2
-1,diesel,turbo,four,wagon,rwd,front,ohc,five,idi,buick,high_price,1.1775998828421,2.60457097555927,2
0,diesel,turbo,two,hardtop,rwd,front,ohc,five,idi,buick,high_price,1.06091487705945,1.96265661719573,2
-1,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,buick,high_price,1.49894485446161,2.65213190098749,2
-1,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,buick,high_price,2.26630608971755,.894706017378044,2
3,gas,std,two,convertible,rwd,front,ohcv,eight,mpfi,buick,high_price,1.73846689994107,-.727007472687258,2
0,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,buick,high_price,3.07194774956893,1.01660812991159,2
1,gas,std,two,hardtop,rwd,front,ohcv,eight,mpfi,buick,high_price,2.81773402735699,.461990340230062,2
1,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi,mercury,medium_price,1.15254562725185,-.262514842661664,2
2,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,mitsubishi,low_price,-1.24208513182247,-.598332803925509,1
2,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,mitsubishi,low_price,-1.10805525095227,-.707949590552339,1
2,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,mitsubishi,low_price,-1.08996327979143,-.703410454904889,1
1,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,mitsubishi,low_price,-.632779502811035,-1.26506465970095,1
3,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,mitsubishi,low_price,-.0422281674448674,-1.22233242652164,1
3,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,mitsubishi,low_price,-.180187399679147,-.621067241263956,1
3,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,mitsubishi,medium_price,.762112543264492,-1.11679199525269,1
3,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,mitsubishi,medium_price,.793381343917991,-1.11031827519091,1
3,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,mitsubishi,medium_price,.794889008181394,-1.10994001388696,1
1,gas,std,four,sedan,fwd,front,ohc,four,2bbl,mitsubishi,low_price,-.199197608164467,-.348083419541484,1
1,gas,std,four,sedan,fwd,front,ohc,four,2bbl,mitsubishi,low_price,-.18713629405724,-.345057329109851,1
1,gas,turbo,four,sedan,fwd,front,ohc,four,spdi,mitsubishi,low_price,-.06244450734091,-.949651213842331,1
-1,gas,std,four,sedan,fwd,front,ohc,four,spdi,mitsubishi,low_price,-.06244450734091,-.949651213842331,1
1,gas,std,two,sedan,fwd,front,ohc,four,2bbl,nissan,low_price,-1.01412715304077,.0134241444102628,1
1,diesel,std,two,sedan,fwd,front,ohc,four,idi,nissan,low_price,-1.7604178504686,1.7639683211443,2
1,gas,std,two,sedan,fwd,front,ohc,four,2bbl,nissan,low_price,-1.00538270031303,.0156180599731971,1
1,gas,std,four,sedan,fwd,front,ohc,four,2bbl,nissan,low_price,-.99935204325942,.0171311051890138,1
1,gas,std,four,wagon,fwd,front,ohc,four,2bbl,nissan,low_price,-.912382427475767,-.0543088571398445,1
1,gas,std,two,sedan,fwd,front,ohc,four,2bbl,nissan,low_price,-.995432116174572,.0181145845792946,1
1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,nissan,low_price,-.956038333209187,-.123698088790018,1
1,gas,std,four,sedan,fwd,front,ohc,four,2bbl,nissan,low_price,-.989401459120958,.0196276297951114,1
1,gas,std,four,wagon,fwd,front,ohc,four,2bbl,nissan,low_price,-.908462500390919,-.0533253777495637,1
2,gas,std,two,hardtop,fwd,front,ohc,four,2bbl,nissan,low_price,-.986337508289703,-.135705687417759,1
0,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,nissan,low_price,-.247053320411799,-.0581269163470162,1
0,gas,std,four,sedan,fwd,front,ohc,four,2bbl,nissan,low_price,-.253687043170774,-.0597912660844146,1
0,gas,std,four,sedan,fwd,front,ohcv,six,mpfi,nissan,medium_price,1.044884512428,-.314646397543456,2
0,gas,std,four,wagon,fwd,front,ohcv,six,mpfi,nissan,medium_price,1.12422952838003,-.145866905029401,2
0,gas,std,four,sedan,fwd,front,ohcv,six,mpfi,nissan,medium_price,.99388511767544,-.227185403041278,2
3,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,nissan,medium_price,.915104662136921,-1.35103918357024,2
3,gas,turbo,two,hatchback,rwd,front,ohcv,six,mpfi,nissan,medium_price,1.21020411603741,-1.71344805206593,2
1,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,nissan,medium_price,1.12676787508325,-.999928918372683,2
0,gas,std,four,sedan,rwd,front,l,four,mpfi,peugeot,medium_price,.732672783469415,.736558871001691,2
0,diesel,turbo,four,sedan,rwd,front,l,four,idi,peugeot,medium_price,.433560854818591,2.58910571453914,2
0,gas,std,four,wagon,rwd,front,l,four,mpfi,peugeot,medium_price,.987750109485746,1.33723227953391,2
0,diesel,turbo,four,wagon,rwd,front,l,four,idi,peugeot,medium_price,.849805691302746,3.05513899179385,2
0,gas,std,four,sedan,rwd,front,l,four,mpfi,peugeot,medium_price,.739531179119388,.751499588832975,2
0,diesel,turbo,four,sedan,rwd,front,l,four,idi,peugeot,medium_price,.450145161716028,2.59326658888264,2
0,gas,std,four,wagon,rwd,front,l,four,mpfi,peugeot,medium_price,1.01645433097014,1.10126192909317,2
0,diesel,turbo,four,wagon,rwd,front,l,four,idi,peugeot,medium_price,.866389998200183,3.05929986613735,2
0,gas,std,four,sedan,rwd,front,l,four,mpfi,peugeot,medium_price,.749257090366852,.740719745345187,2
0,diesel,turbo,four,sedan,rwd,front,l,four,idi,peugeot,medium_price,.450145161716028,2.59326658888264,2
0,gas,turbo,four,sedan,rwd,front,l,four,mpfi,peugeot,medium_price,1.20832834679692,-.136546614416108,2
1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,plymouth,low_price,-1.28861797018411,-.614208375299389,1
1,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,plymouth,low_price,-.628036068501113,-1.24239669673086,1
1,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,plymouth,low_price,-1.14546825111881,-.747176266755232,1
1,gas,std,four,sedan,fwd,front,ohc,four,2bbl,plymouth,low_price,-1.03874385066592,-.623462693090341,1
1,gas,std,four,sedan,fwd,front,ohc,four,2bbl,plymouth,low_price,-.946813706571253,-.61679480046351,1
-1,gas,std,four,wagon,fwd,front,ohc,four,2bbl,plymouth,low_price,-.125949696778224,.893150846187012,1
3,gas,turbo,two,hatchback,rwd,front,ohc,four,spdi,plymouth,medium_price,.762323460091882,-1.11811045805237,1
3,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,porsche,high_price,.905124137966776,-1.22530910065949,2
3,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi,porsche,high_price,1.07463119390194,-2.02665430915048,2
3,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi,porsche,high_price,1.07463119390194,-2.02665430915048,2
3,gas,std,two,convertible,rwd,rear,ohcf,six,mpfi,porsche,high_price,1.08789863941989,-2.02332560967568,2
1,gas,std,two,hatchback,rwd,front,dohcv,eight,mpfi,porsche,high_price,2.3953845937686,-1.79830901085486,2
0,gas,std,four,wagon,fwd,front,ohc,four,mpfi,renault,low_price,.134949174382962,.123514361023912,1
2,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,renault,low_price,.108798035194219,-.517694743922075,1
3,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,saab,medium_price,.407222908923824,.186672966639738,1
2,gas,std,four,sedan,fwd,front,ohc,four,mpfi,saab,medium_price,.418579562295155,.188619070482856,1
3,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,saab,medium_price,-.0511930052326444,.207894786393857,1
2,gas,std,four,sedan,fwd,front,ohc,four,mpfi,saab,medium_price,.437576132014037,.193385162912679,1
3,gas,turbo,two,hatchback,fwd,front,dohc,four,mpfi,saab,medium_price,.780280642474281,-.314939996708912,1
2,gas,turbo,four,sedan,fwd,front,dohc,four,mpfi,saab,medium_price,.792040423728827,-.311989558538069,1
2,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl,subaru,low_price,-.862249095812199,-.0498391795329569,1
2,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl,subaru,low_price,-.654469061389348,.123041417078365,1
2,gas,std,two,hatchback,4wd,front,ohcf,four,2bbl,subaru,low_price,-.63898126689385,.369534919374863,1
0,gas,std,four,sedan,fwd,front,ohcf,four,2bbl,subaru,low_price,-.428580330388047,.185580988058659,1
0,gas,std,four,sedan,fwd,front,ohcf,four,2bbl,subaru,low_price,-.338678432456955,.357684613193852,1
0,gas,std,four,sedan,fwd,front,ohcf,four,mpfi,subaru,low_price,-.111360817604827,-.311262330469521,1
0,gas,std,four,sedan,4wd,front,ohcf,four,2bbl,subaru,low_price,-.0882743714189484,.132098108416349,1
0,gas,turbo,four,sedan,4wd,front,ohcf,four,mpfi,subaru,medium_price,.0603504088220893,-.0760541886196171,1
0,gas,std,four,wagon,fwd,front,ohcf,four,2bbl,subaru,low_price,-.241611171445803,.112742800105149,1
0,gas,std,four,wagon,fwd,front,ohcf,four,mpfi,subaru,medium_price,-.0415823338951685,-.256931238400557,1
0,gas,std,four,wagon,4wd,front,ohcf,four,2bbl,subaru,low_price,-.111383697458217,.259305131220785,1
0,gas,turbo,four,wagon,4wd,front,ohcf,four,mpfi,subaru,medium_price,.209113173092626,-.0648856177736896,1
1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,toyota,low_price,-1.26142121183593,.344851515501854,1
1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,toyota,low_price,-1.17473133454932,.287021420174577,1
1,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,toyota,low_price,-1.18226965586634,.285130113654806,1
0,gas,std,four,wagon,fwd,front,ohc,four,2bbl,toyota,low_price,-1.02608494894221,.976529154666201,1
0,gas,std,four,wagon,4wd,front,ohc,four,2bbl,toyota,low_price,-.896879593714898,.865701931866717,1
0,gas,std,four,wagon,4wd,front,ohc,four,2bbl,toyota,low_price,-.649622654516751,.927736785715203,1
0,gas,std,four,sedan,fwd,front,ohc,four,2bbl,toyota,low_price,-.860065316523217,.122719082886786,1
0,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,toyota,low_price,-.849437814064716,.0997462393617261,1
0,diesel,std,four,sedan,fwd,front,ohc,four,idi,toyota,low_price,-1.12410368004295,1.58816273746208,2
0,diesel,std,four,hatchback,fwd,front,ohc,four,idi,toyota,low_price,-1.33223580862701,1.7490445396472,2
0,gas,std,four,sedan,fwd,front,ohc,four,2bbl,toyota,low_price,-1.10852544283937,.34687005309185,1
0,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,toyota,low_price,-.7754123165907,.0387387490812337,1
0,gas,std,four,sedan,fwd,front,ohc,four,2bbl,toyota,low_price,-.769984725242448,.0401004897754687,1
1,gas,std,two,sedan,rwd,front,ohc,four,2bbl,toyota,low_price,-.791301679665133,-.000212005828985048,1
1,gas,std,two,hatchback,rwd,front,ohc,four,2bbl,toyota,low_price,-.78074802982131,.00243582329869425,1
1,gas,std,two,sedan,rwd,front,dohc,four,mpfi,toyota,low_price,-.269007473006315,-1.49079056763104,2
1,gas,std,two,hatchback,rwd,front,dohc,four,mpfi,toyota,low_price,-.258453823162492,-1.48814273850336,2
2,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,toyota,low_price,.29579061763897,-.186674658244405,2
2,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,toyota,low_price,.294584486228247,-.186977267287569,2
2,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,toyota,low_price,.299107479018457,-.185842483375706,2
2,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,toyota,medium_price,.337703684161583,-.176158993994479,2
2,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,toyota,medium_price,.348257334005406,-.1735111648668,2
2,gas,std,two,convertible,rwd,front,ohc,four,mpfi,toyota,medium_price,.41603449563785,-.0283103906643788,2
-1,gas,std,four,sedan,fwd,front,ohc,four,mpfi,toyota,low_price,-.216458110707755,.942186123612497,1
-1,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,toyota,medium_price,-.576921808261685,2.04616811036071,2
-1,gas,std,four,hatchback,fwd,front,ohc,four,mpfi,toyota,low_price,-.122915850443312,.773795212689459,1
-1,gas,std,four,sedan,fwd,front,ohc,four,mpfi,toyota,medium_price,-.133838763360522,.899250746825472,1
-1,gas,std,four,hatchback,fwd,front,ohc,four,mpfi,toyota,medium_price,-.109648404925362,.777123912164256,1
3,gas,std,two,hatchback,rwd,front,dohc,six,mpfi,toyota,medium_price,1.02722099810196,-.520721692531715,2
3,gas,std,two,hatchback,rwd,front,dohc,six,mpfi,toyota,medium_price,1.05330342628703,-.530093796034236,2
-1,gas,std,four,sedan,rwd,front,dohc,six,mpfi,toyota,medium_price,1.01768685306498,-.166733626692772,2
-1,gas,std,four,wagon,rwd,front,dohc,six,mpfi,toyota,medium_price,.998962989379955,-.166851445344963,2
2,diesel,std,two,sedan,fwd,front,ohc,four,idi,volkswagen,low_price,-1.36727322984838,2.10924354385714,2
2,gas,std,two,sedan,fwd,front,ohc,four,mpfi,volkswagen,low_price,-.462041314795475,.142842769554834,1
2,diesel,std,four,sedan,fwd,front,ohc,four,idi,volkswagen,low_price,-1.36636863129034,2.10947050063951,2
2,gas,std,four,sedan,fwd,front,ohc,four,mpfi,volkswagen,low_price,-.461136716237433,.143069726337206,1
2,gas,std,four,sedan,fwd,front,ohc,four,mpfi,volkswagen,low_price,-.442140146518551,.147835818767029,1
2,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,volkswagen,low_price,-1.24276957289851,2.17871346999871,2
2,gas,std,four,sedan,fwd,front,ohc,four,mpfi,volkswagen,low_price,-.317190435162838,-.0504413176053724,1
3,gas,std,two,convertible,fwd,front,ohc,four,mpfi,volkswagen,medium_price,-.528819636282891,-.457620283325749,1
3,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,volkswagen,low_price,-.440363723391009,-.930986535487951,1
0,gas,std,four,sedan,fwd,front,ohc,five,mpfi,volkswagen,medium_price,.412970878821281,-.264738179409993,1
0,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,volkswagen,medium_price,-.82452531914376,2.25448856693219,2
0,gas,std,four,wagon,fwd,front,ohc,four,mpfi,volkswagen,medium_price,.00912987289326996,.10744383398699,1
-2,gas,std,four,sedan,rwd,front,ohc,four,mpfi,volvo,medium_price,.81599178861359,.33178774330496,2
-1,gas,std,four,wagon,rwd,front,ohc,four,mpfi,volvo,medium_price,.838579009848258,.504109513498258,2
-2,gas,std,four,sedan,rwd,front,ohc,four,mpfi,volvo,medium_price,.808905930147412,.345925939237304,2
-1,gas,std,four,wagon,rwd,front,ohc,four,mpfi,volvo,medium_price,.826970158591869,.517112925518739,2
-2,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,volvo,medium_price,1.15248571434621,-.0205544942226746,2
-1,gas,turbo,four,wagon,rwd,front,ohc,four,mpfi,volvo,medium_price,1.17205760705407,.151010753362715,2
-1,gas,std,four,sedan,rwd,front,ohc,four,mpfi,volvo,medium_price,1.01324584615298,.462333584919542,2
-1,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,volvo,medium_price,1.36491136570596,.130672078620336,2
-1,gas,std,four,sedan,rwd,front,ohcv,six,mpfi,volvo,high_price,1.32116655544332,.0776271752440156,2
-1,diesel,turbo,four,sedan,rwd,front,ohc,six,idi,volvo,high_price,.353535342847998,2.1135510137853,2
-1,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,volvo,high_price,1.14456225849269,.383867976067451,2

